,Area,Date,Unadjusted CPI Index
354,Northeast - Size Class B/C(3),2020-08-01,160.844
355,New England(4),2020-08-01,104.864
356,Middle Atlantic(4),2020-08-01,104.939
357,Midwest,2020-08-01,241.362
358,Midwest - Size Class A,2020-08-01,241.847
359,Midwest - Size Class B/C(3),2020-08-01,154.362
360,East North Central(4),2020-08-01,104.745
361,West North Central(4),2020-08-01,104.578
362,South,2020-08-01,249.639
363,South - Size Class A,2020-08-01,254.07
364,South - Size Class B/C(3),2020-08-01,157.796
365,South Atlantic(4),2020-08-01,105.691
366,East South Central(4),2020-08-01,103.617
367,West South Central(4),2020-08-01,103.299
368,West,2020-08-01,276.443
369,West - Size Class A,2020-08-01,285.441
370,West - Size Class B/C(3),2020-08-01,160.528
371,Mountain(4),2020-08-01,107.719
372,Pacific(4),2020-08-01,107.309
373,Size classes,2020-08-01,
374,Size Class A(5),2020-08-01,239.834
375,Size Class B/C(3),2020-08-01,158.123
376,Selected local areas,2020-08-01,
377,"Chicago-Naperville-Elgin, IL-IN-WI",2020-08-01,244.341
378,"Los Angeles-Long Beach-Anaheim, CA",2020-08-01,280.116
379,"New York-Newark-Jersey City, NY-NJ-PA",2020-08-01,283.478
380,"Atlanta-Sandy Springs-Roswell, GA",2020-08-01,248.07
381,"Baltimore-Columbia-Towson, MD(6)",2020-08-01,259.336
382,"Detroit-Warren-Dearborn, MI",2020-08-01,240.598
383,"Houston-The Woodlands-Sugar Land, TX",2020-08-01,228.978
384,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-08-01,273.861
385,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020-08-01,259.965
386,"Phoenix-Mesa-Scottsdale, AZ(7)",2020-08-01,146.395
387,"San Francisco-Oakland-Hayward, CA",2020-08-01,300.182
388,"Seattle-Tacoma-Bellevue, WA",2020-08-01,284.905
389,"St. Louis, MO-IL",2020-08-01,234.818
390,Urban Alaska,2020-08-01,226.984
391,"Boston-Cambridge-Newton, MA-NH",2020-08-01,
392,"Dallas-Fort Worth-Arlington, TX",2020-08-01,
393,"Denver-Aurora-Lakewood, CO",2020-08-01,
394,"Minneapolis-St.Paul-Bloomington, MN-WI",2020-08-01,
395,"Riverside-San Bernardino-Ontario, CA(4)",2020-08-01,
396,"San Diego-Carlsbad, CA",2020-08-01,
397,"Tampa-St. Petersburg-Clearwater, FL(8)",2020-08-01,
398,Urban Hawaii,2020-08-01,
399,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2020-08-01,
400,U.S. city average,2020-09-01,260.28
401,Region and area size(2),2020-09-01,
402,Northeast,2020-09-01,273.925
403,Northeast - Size Class A,2020-09-01,277.897
404,Northeast - Size Class B/C(3),2020-09-01,160.756
405,New England(4),2020-09-01,104.923
406,Middle Atlantic(4),2020-09-01,105.089
407,Midwest,2020-09-01,241.878
408,Midwest - Size Class A,2020-09-01,243.269
409,Midwest - Size Class B/C(3),2020-09-01,154.352
410,East North Central(4),2020-09-01,104.842
411,West North Central(4),2020-09-01,105.088
412,South,2020-09-01,250.193
413,South - Size Class A,2020-09-01,254.848
414,South - Size Class B/C(3),2020-09-01,158.065
415,South Atlantic(4),2020-09-01,105.945
416,East South Central(4),2020-09-01,103.581
417,West South Central(4),2020-09-01,103.606
418,West,2020-09-01,276.422
419,West - Size Class A,2020-09-01,284.925
420,West - Size Class B/C(3),2020-09-01,160.846
421,Mountain(4),2020-09-01,107.735
422,Pacific(4),2020-09-01,107.292
423,Size classes,2020-09-01,
424,Size Class A(5),2020-09-01,240.274
425,Size Class B/C(3),2020-09-01,158.285
426,Selected local areas,2020-09-01,
427,"Chicago-Naperville-Elgin, IL-IN-WI",2020-09-01,245.745
428,"Los Angeles-Long Beach-Anaheim, CA",2020-09-01,279.366
429,"New York-Newark-Jersey City, NY-NJ-PA",2020-09-01,284.551
430,"Atlanta-Sandy Springs-Roswell, GA",2020-09-01,
431,"Baltimore-Columbia-Towson, MD(6)",2020-09-01,
432,"Detroit-Warren-Dearborn, MI",2020-09-01,
433,"Houston-The Woodlands-Sugar Land, TX",2020-09-01,
434,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-09-01,
435,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020-09-01,
436,"Phoenix-Mesa-Scottsdale, AZ(7)",2020-09-01,
437,"San Francisco-Oakland-Hayward, CA",2020-09-01,
438,"Seattle-Tacoma-Bellevue, WA",2020-09-01,
439,"St. Louis, MO-IL",2020-09-01,
440,Urban Alaska,2020-09-01,
441,"Boston-Cambridge-Newton, MA-NH",2020-09-01,283.391
442,"Dallas-Fort Worth-Arlington, TX",2020-09-01,240.658
443,"Denver-Aurora-Lakewood, CO",2020-09-01,273.86
444,"Minneapolis-St.Paul-Bloomington, MN-WI",2020-09-01,256.28
445,"Riverside-San Bernardino-Ontario, CA(4)",2020-09-01,108.201
446,"San Diego-Carlsbad, CA",2020-09-01,304.443
447,"Tampa-St. Petersburg-Clearwater, FL(8)",2020-09-01,236.804
448,Urban Hawaii,2020-09-01,287.529
449,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2020-09-01,268.788
450,U.S. city average,2020-10-01,260.388
451,Region and area size(2),2020-10-01,
452,Northeast,2020-10-01,273.374
453,Northeast - Size Class A,2020-10-01,277.544
454,Northeast - Size Class B/C(3),2020-10-01,160.278
455,New England(4),2020-10-01,104.336
456,Middle Atlantic(4),2020-10-01,105.018
457,Midwest,2020-10-01,241.74
458,Midwest - Size Class A,2020-10-01,243.183
459,Midwest - Size Class B/C(3),2020-10-01,154.243
460,East North Central(4),2020-10-01,104.787
461,West North Central(4),2020-10-01,105.015
462,South,2020-10-01,250.542
463,South - Size Class A,2020-10-01,255.045
464,South - Size Class B/C(3),2020-10-01,158.346
465,South Atlantic(4),2020-10-01,106.162
466,East South Central(4),2020-10-01,103.82
467,West South Central(4),2020-10-01,103.586
468,West,2020-10-01,276.876
469,West - Size Class A,2020-10-01,285.347
470,West - Size Class B/C(3),2020-10-01,161.141
471,Mountain(4),2020-10-01,107.754
472,Pacific(4),2020-10-01,107.525
473,Size classes,2020-10-01,
474,Size Class A(5),2020-10-01,240.351
475,Size Class B/C(3),2020-10-01,158.363
476,Selected local areas,2020-10-01,
477,"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-01,245.584
478,"Los Angeles-Long Beach-Anaheim, CA",2020-10-01,279.947
479,"New York-Newark-Jersey City, NY-NJ-PA",2020-10-01,284.121
480,"Atlanta-Sandy Springs-Roswell, GA",2020-10-01,248.794
481,"Baltimore-Columbia-Towson, MD(6)",2020-10-01,260.892
482,"Detroit-Warren-Dearborn, MI",2020-10-01,239.922
483,"Houston-The Woodlands-Sugar Land, TX",2020-10-01,229.885
484,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-10-01,274.193
485,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020-10-01,259.979
486,"Phoenix-Mesa-Scottsdale, AZ(7)",2020-10-01,146.83
487,"San Francisco-Oakland-Hayward, CA",2020-10-01,301.736
